id,title,description,created_time,language,country,view_count,subs_count,video_count,tags,madeforkids,good_standing,owner
UCPe9vNjHF1kEExT5kHwc7aw,beIN SPORTS Türkiye,"Spor Toto Süper Lig ve Avrupa'nın en kaliteli liglerini evlerinize getiren beIN SPORTS'un birbirinden eğlenceli, spor dolu içeriklerinin yer aldığı beIN SPORTS Türkiye YouTube kanalına hoş geldiniz.

Bu kanalda sizi arşiv maç özetleri, en eğlenceli programlar, özel içerikler ve hiçbir yerde bulamayacağınız özel röportajlar bekliyor.

Süper Lig
TFF 1. Lig
Premier League
Bundesliga
Ligue 1 Uber Eats
Football League Championship
WTA Masters",2013-11-23T13:11:05Z,,TR,550317117,1230000,5341,"['Sport', 'Association_football']",False,None,None
UCKUwIEjEWOK8MnQ23q8MMNQ,Mahzen Fabrick,"Yola hangi misyon ve vizyonla çıktığımızı unutmadan, sizlere daha rahat ulaşabilmek adına “Mahzen Media” bayrağı altında  “MAHZEN FABRICK” olarak karşınızdayız. Değişmekten ve kendimizi geliştirmekten bi’ an bile ödün vermeden daha güçlü, daha donanımlı ve daha büyük bir ekip olarak buradayız.
Her zaman dediğimiz gibi..
“Var olanı değil, bilinmeyenleri keşfediyoruz.”

",2019-12-25T17:16:54.537128Z,,TR,269448052,388000,89,"['Music', 'Hip_hop_music', 'Electronic_music', 'Pop_music']",False,None,None
UCFkRZ0Sg8UUN8zKPqAeF-DQ,Al Sancak TRT,"Enerji krizi, açlık ve terör gibi sorunlarla boğuşan dünya için başlayan yeni sürecin adı kaostur.Bu karanlık tablo içinde yüzüncü yılını idrak eden Türkiye Cumhuriyeti için sınırlarını korumak ve sınır ötesinde var olmak vazgeçilmez hale gelir.Milli Teknoloji hamlesini gerçekleştiren Türk Silahlı Kuvvetleri (TSK), yeni döneme uygun çok daha etkin güvenlik stratejileri üretir.Bu doğrultuda TSK; özel kuvvetler bünyesinde yurt içi ve yurt dışında nokta atışı operasyonlar icra eden seçkin timler oluşturur.Bu timlerden biri de Pençe Timi’dir. Pençe Timi, Türkiye’ye yönelen tehditleri yok etmekle kalmaz; “Barışın güvercini, savaşın kartalı” olarak caydırıcılığıyla her alanda Türkiye’nin elini güçlendirir.Ülkesinin ve insanlığın selameti adına dünyanın farklı coğrafyalarında fedakarca mücadele eder. Al Sancak, uğruna gece gündüz demeden ateşin içine atılmaktan asla geri durmaz.Birbirine son derece bağlı olan Pençe Timi, takdir edilmeyi beklemeden ödülde en sonda, görevde ise en başta durur.
",2022-11-18T20:47:24.31026Z,,TR,28678333,130000,77,"['Television_program', 'Entertainment', 'Film']",False,None,None
UCrBKSuGdfEkQ78IzsXDzpBw,Ateş Kuşları,"Ateş Kuşları yeni bölümüyle Cuma 20.00'de atv'de!

Sokak çocuklarının çoğu yirmi yaşını görmez. Görenlerin de yaşadığı söylenemez. Uyuşturucu, şiddet, cinsel taciz, açlık… Sokak çocuklarının kaderi, ya mapus ya mezardır. Bu çocuklardan beş tanesi, bu kadere karşı koymayı başarır. Kendilerine ""Köksüzler"" diyen; en büyüğü 13, en küçüğü 6 yaşında, biri kız, biri otistik, beş sokak çocuğunun, çöplükte kırk günlük bir bebek bulmalarıyla başlayan ve ""Köksüzler""den ""Ateş Kuşları""na dönüşmelerini anlatan Ateş Kuşları; çocukların zorluklara, acılara ve her şeye rağmen kadere karşı koyma hikayelerini ele alacak.

",2022-08-08T14:15:51.22864Z,,TR,36875716,247000,196,"['Film', 'Television_program', 'Entertainment']",,None,None
UCEe6xhdW9btruc2Z32ko-0Q,Fenerbahçe Haberleri,"Fenerbahçe Haberleri, Fenerbahçe videoları, Fb, Fb Maç özetleri, Fenerbahçe Maç Özetleri, Fenerbahçe Maçları, Fener,",2019-11-26T08:30:44.584075Z,,TR,88477724,128000,7468,"['Sport', 'Association_football']",False,None,None
UCkaNu6pBWnGL5uuNYiz2WOg,Berk Coşkun,"Ben kaptan pilotunuz Berk Coşkun , ilginç bilgiler , hayat hileleri , eğlenceli DIY kendin yap projeleri, komik parodi skeçler, pratik yemek tarifleri, müzik klipleri ve dahası için doğru adrestesin! 
",2010-10-09T19:33:12Z,tr,TR,903563713,3300000,162,['Lifestyle_(sociology)'],False,None,None
UCJhEfZoLs5P_idxX--yhWOA,Çok Güzel Hareketler,"Çok Güzel Hareketler Bunlar, ilk bölümü 7 Mayıs 2008'de Kanal D'de yayınlanan eğlence programı. Yılmaz Erdoğan yönetiminde BKM Mutfak oyuncularının sahne aldığı programda, önceleri seyirciler de puan vererek oyunlarda etkin olmuş, daha sonra ise bu uygulamadan kalkıp yalnızca skeçler verilmiştir. Yılmaz Erdoğan'ın kardeşi olan Deniz Erdoğan, çok bilindik bir melodi olan Camptown Races isimli Amerikan halk şarkısına söz yazmak suretiyle programın jenerik müziğini hazırlamıştır. Ayrıca ekibin Çok Filim Hareketler Bunlar adlı uzun metraj sinema filmleri 26 Mart 2010'da gösterime girmiştir. 26 Haziran 2011 tarihinde de program bitmiştir.

Yılmaz Erdoğan’ın yönetimindeki atölyeden çıkan “Çok Güzel Hareketler 2” yeni bölümleriyle  Star Tv'de yayınlanmaya devam etmektedir.",2014-03-12T15:37:07Z,,TR,5064388143,3830000,2089,"['Entertainment', 'Television_program', 'Film']",False,None,None
UCElVbb5m1oI0-Mijb8ij0sw,Ahmet Can Dündar,"Selam ben Ahmet Can Dündar kanalıma hoş geldin burada eğlenceli içerikler üretmek için elimden geleni yapıyorum eğer abone olursan beni mutlu edersin ve daha fazla eğlenceli içerik üretmek için daha çok çalışırım, şimdiden hoş geldin :)
",2021-07-08T11:56:29.55417Z,,TR,297672022,1060000,104,"['Lifestyle_(sociology)', 'Entertainment']",False,None,None
UCe7aqufT4SrA_IFs_3NaDLA,Taçsız Prenses,"Hayatı boyunca hayalperest annesi Şirin’in (Feride Çetin) masallarıyla büyüyen Masal (Elif Kurtaran), annesinin kalp hastalığı nedeniyle hastaneye kaldırılmasıyla soğuk ve gerçekçi bir dünyanın içine hapsolur ve alabildiğine yırtıcı, hırçın, her kötülüğü yapabilecek bir kıza dönüşür. Masal’ın ilk destek göreceği kişi öğretmeni Evgin (İsmail Hacıoğlu) olurken işler zamanla herkes için tersine dönecektir. Kahramanımız Masal yolculuğu boyunca, bir yandan kendi masalını ararken bir yandan da hikayenin diğer kahramanlarının yarım kalmış masallarını tek tek tamamlayacak ve bu yolculukta Masal’ın en yakını ise yanından ayrılmayan köpeği Köfte olacaktır…

KÜNYE:
TÜR: DRAMA
YAPIM ŞİRKETİ: MF YAPIM
YAPIMCI: ASENA BÜLBÜLOĞLU
YÖNETMEN: VOLKAN KESKİN
SENARYO: PINAR BULUT & ONUR KORALP

Taçsız Prenses Her Salı Saat 20.00'de FOX'ta✨
",2022-12-01T14:14:53.082506Z,,TR,77823276,232000,188,"['Film', 'Television_program', 'Entertainment']",False,None,None
UC2Auof70ozxMQ6K1IedgZmQ,Sıla Dündar,Merhaba ben Sıla Dündar bu kanalda abimle beraber eğlenceli içerikler üretiyoruz ve üreteceğiiz! Hadi hemen abone ol hep beraber eğlenelim !,2022-04-01T11:36:38.889262Z,,,35515573,478000,34,"['Food', 'Entertainment', 'Lifestyle_(sociology)']",False,None,None
